=== trap int3 lines (all, with timestamps) ===
9月 22 10:11:41 CNS202649516533 kernel: traps: chrome[21135] trap int3 ip:5ba4cada422c sp:7ffd60005630 error:0 in chrome[56c322c,5ba4c7e27000+b7cf000]
9月 22 10:11:51 CNS202649516533 kernel: traps: chrome[21608] trap int3 ip:6449d11cd22c sp:7fffa2869d60 error:0 in chrome[56c322c,6449ce250000+b7cf000]
9月 22 10:11:56 CNS202649516533 kernel: traps: chrome[21784] trap int3 ip:590f4fe3622c sp:7fffb112d460 error:0 in chrome[56c322c,590f4ceb9000+b7cf000]
9月 22 10:12:31 CNS202649516533 kernel: traps: chrome[23100] trap int3 ip:56b98440722c sp:7ffd92886230 error:0 in chrome[56c322c,56b98148a000+b7cf000]
9月 22 10:12:31 CNS202649516533 kernel: traps: chrome[23117] trap int3 ip:5d036b1bb22c sp:7ffce5fa6590 error:0 in chrome[56c322c,5d036823e000+b7cf000]
9月 22 10:12:31 CNS202649516533 kernel: traps: chrome[23134] trap int3 ip:6236e0ddd22c sp:7ffeed393d90 error:0 in chrome[56c322c,6236dde60000+b7cf000]
9月 22 10:13:08 CNS202649516533 kernel: traps: chrome[25861] trap int3 ip:5f59e836b22c sp:7fff3b10ee00 error:0 in chrome[56c322c,5f59e53ee000+b7cf000]
9月 22 10:13:08 CNS202649516533 kernel: traps: chrome[25949] trap int3 ip:572f7e61222c sp:7ffcfa4d2ed0 error:0 in chrome[56c322c,572f7b695000+b7cf000]
9月 22 10:13:08 CNS202649516533 kernel: traps: chrome[25979] trap int3 ip:55fb857c522c sp:7fff2d1e6210 error:0 in chrome[56c322c,55fb82848000+b7cf000]
9月 22 10:13:08 CNS202649516533 kernel: traps: chrome[26003] trap int3 ip:60da3cf3922c sp:7ffc5eba6450 error:0 in chrome[56c322c,60da39fbc000+b7cf000]
9月 22 10:13:09 CNS202649516533 kernel: traps: chrome[26025] trap int3 ip:5bfa689c522c sp:7ffea2a72b60 error:0 in chrome[56c322c,5bfa65a48000+b7cf000]
9月 22 10:13:09 CNS202649516533 kernel: traps: chrome[26047] trap int3 ip:5da5bec0122c sp:7ffcc3e400b0 error:0 in chrome[56c322c,5da5bbc84000+b7cf000]
9月 22 10:13:09 CNS202649516533 kernel: traps: chrome[26069] trap int3 ip:62314287e22c sp:7fff7b551be0 error:0 in chrome[56c322c,62313f901000+b7cf000]
9月 22 10:13:17 CNS202649516533 kernel: traps: chrome[26525] trap int3 ip:5ae8138f622c sp:7ffe674f1dd0 error:0 in chrome[56c322c,5ae810979000+b7cf000]
9月 22 10:13:18 CNS202649516533 kernel: traps: chrome[26585] trap int3 ip:5c084efee22c sp:7ffeec390a00 error:0 in chrome[56c322c,5c084c071000+b7cf000]
9月 22 10:13:19 CNS202649516533 kernel: traps: chrome[26613] trap int3 ip:5ad97542c22c sp:7ffc8f2e63b0 error:0 in chrome[56c322c,5ad9724af000+b7cf000]
9月 22 10:13:20 CNS202649516533 kernel: traps: chrome[26660] trap int3 ip:5eaa5370d22c sp:7fff56c86990 error:0 in chrome[56c322c,5eaa50790000+b7cf000]
